Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
25279,Jo,ZI,13-Jan-19,1,17:34:34,AX,13-Jan-19,17:30:10,15,,149.24,19-Jan-19,0:03,18-Feb-19,0:24,18-Feb-19,already off,,18-Feb-19,,,,,1:34,,18-Feb-19,axy worked well
25676,CB,ZX,NA,1,NA,19,NA,NA,15,,149.309,15-Jan-19,23:17,20-Jan-19,22:16,20-Jan-19,~23:10,,20-Jan-19,,,,,~23:35,,,time for GPS/XYZ turning on was not recorded
24194,CB,ET,NA,1,NA,10,NA,NA,15,,149.079,15-Jan-19,23:20,28-Jan-19,0:37,28-Jan-19,~01:40,,28-Jan-19,,,,,~01:50,,,time for GPS/XYZ turning on was not recorded
25678,Jo,CG,,1,,MT,,,15,,149.67,15-Jan-19,22:27,15-Feb-19,0:36,already off,already off,,15-Feb-19,,,,,2:00,,,"time for GPS/XYZ turning on was not recorded, GPS didn't worK"
24693,Jo,CE,17-Jan-19,1,19:59:08,HB,17-Jan-19,20:00:02,15,,149.829,18-Jan-19,23:16,10-Feb-19,1:03,10-Feb-19,by 02:15,Y,10-Feb-19,,,,,by 02:15,,10-Feb-19,"axy worked well, GPS dump?"
25253,Kloo/CB,MZ,17-Jan-19,1,19:59:36,MK,17-Jan-19,20:00:26,15,,149.03,19-Jan-19,0:28,5-Feb-19,0:35,5-Feb-19,already off,,5-Feb-19,,,,,~02:50,,5-Feb-19,GPS didn’t work (accidentally turned off?)
24523,Kloo,XM,18-Jan-19,1,19:37:35,17,18-Jan-19,19:38:27,15,,149.77,23-Jan-19,23:51,20-Feb-19,9:45,20-Feb-19,already off,,20-Feb-19,,,,,19:06,,20-Feb-19,axy worked well
25166,Rolo,CF,18-Jan-19,1,19:37:50,18,18-Jan-19,19:38:46,15,,151.695,19-Jan-19,22:38,18-Feb-19,17:00,11-Feb-19,already off,,23-Feb-19,,,,,already off,,23-Feb-19,axy wroked well
24547,Jo,HF Alb,18-Jan-19,1,19:38:06,21,18-Jan-19,19:39:05,15,,151.715,22-Jan-19,23:00,10-Feb-19,0:38,10-Feb-19,by 02:15,,10-Feb-19,,,,,by 02:15,,,axy didn't work (turned off?)
25092,Kloo,EH,19-Jan-19,1,18:45:21,MG,19-Jan-19,18:46:02,15,,151.675,19-Jan-19,23:05,8-Feb-19,8:40,8-Feb-19,9:55,,8-Feb-19,,,,,9:54,,,axy worked well
