"","V1","Date","Forage","Hopping","notmoving","Sprinting","ID"
"75",2,2023-01-18,33569,972,51739,120,"26663"
"76",3,2023-01-19,34024,1020,51216,140,"26663"
"77",4,2023-01-20,30808,948,54480,164,"26663"
"78",5,2023-01-21,30739,1240,54233,188,"26663"
"79",6,2023-01-22,33560,2240,50424,176,"26663"
"80",7,2023-01-23,31893,1288,53119,100,"26663"
"81",8,2023-01-24,23155,456,62633,156,"26663"
"82",9,2023-01-25,35264,1020,50028,88,"26663"
"83",10,2023-01-26,51421,3248,31507,224,"26663"
"84",11,2023-01-27,36980,1704,47484,232,"26663"
"85",12,2023-01-28,44187,1864,40193,156,"26663"
"86",13,2023-01-29,40032,1304,44940,124,"26663"
"87",14,2023-01-30,40304,992,44988,116,"26663"
"88",15,2023-01-31,33776,436,52140,48,"26663"
"89",16,2023-02-01,25689,936,59659,116,"26663"
"90",17,2023-02-02,32296,512,53520,72,"26663"
"91",18,2023-02-03,36287,1388,48593,132,"26663"
"92",19,2023-02-04,41273,1444,43591,92,"26663"
"93",20,2023-02-05,32699,876,52769,56,"26663"
"94",21,2023-02-06,23461,320,62575,44,"26663"
"95",22,2023-02-07,38168,596,47520,116,"26663"
"96",23,2023-02-08,37592,784,47952,72,"26663"
"97",24,2023-02-09,35524,952,49776,148,"26663"
"98",25,2023-02-10,30803,1008,54473,116,"26663"
"99",26,2023-02-11,37177,632,48499,92,"26663"
"100",27,2023-02-12,36271,988,48965,176,"26663"
"101",28,2023-02-13,31304,1180,53724,192,"26663"
"102",29,2023-02-14,35793,1120,49435,52,"26663"
"103",30,2023-02-15,32652,548,53124,76,"26663"
"104",1,2023-01-18,12986,112,73290,12,"26664"
"105",2,2023-01-19,28976,112,57300,12,"26664"
"106",3,2023-01-20,34484,188,51684,44,"26664"
"107",4,2023-01-21,33142,308,52890,60,"26664"
"108",5,2023-01-22,35546,328,50430,96,"26664"
"109",6,2023-01-23,29600,208,56520,72,"26664"
"110",7,2023-01-24,32964,136,53280,20,"26664"
"111",8,2023-01-25,31670,256,54462,12,"26664"
"112",9,2023-01-26,38962,208,47190,40,"26664"
"113",10,2023-01-27,38300,184,47892,24,"26664"
"114",11,2023-01-28,37572,92,48708,28,"26664"
"115",12,2023-01-29,40778,112,45498,12,"26664"
"116",13,2023-01-30,40722,180,45486,12,"26664"
"117",14,2023-01-31,34638,116,51618,28,"26664"
"118",15,2023-02-01,37224,136,49032,8,"26664"
"119",16,2023-02-02,30562,288,55494,56,"26664"
"120",17,2023-02-03,36208,216,49908,68,"26664"
"121",18,2023-02-04,38888,368,47088,56,"26664"
"122",19,2023-02-05,37850,228,48282,40,"26664"
"123",20,2023-02-06,31558,148,54618,76,"26664"
"124",21,2023-02-07,37000,92,49296,12,"26664"
"125",22,2023-02-08,37898,156,48318,28,"26664"
"126",23,2023-02-09,30676,104,55584,36,"26664"
"127",24,2023-02-10,26634,204,59526,36,"26664"
"128",25,2023-02-11,36300,120,49956,24,"26664"
"129",26,2023-02-12,39124,236,46968,72,"26664"
"130",27,2023-02-13,30390,232,55722,56,"26664"
"131",28,2023-02-14,33680,280,52380,60,"26664"
"132",29,2023-02-15,37470,212,48642,76,"26664"
"133",30,2023-02-16,29630,176,56562,32,"26664"
"134",31,2023-02-17,41890,200,44274,36,"26664"
"135",1,2023-03-10,22040,220,64092,48,"26664"
"136",2,2023-03-11,25784,212,60376,28,"26664"
"137",3,2023-03-12,33184,460,52688,68,"26664"
"138",4,2023-03-13,28276,196,57892,36,"26664"
"139",5,2023-03-14,31324,372,54672,32,"26664"
"140",6,2023-03-15,30124,180,56048,48,"26664"
"141",7,2023-03-16,33712,156,52500,32,"26664"
"142",8,2023-03-17,33000,168,53164,68,"26664"
"143",9,2023-03-18,40392,308,45612,88,"26664"
"144",10,2023-03-19,34288,128,51936,48,"26664"
"145",11,2023-03-20,42104,268,43968,60,"26664"
"146",12,2023-03-21,37932,200,48236,32,"26664"
"147",13,2023-03-22,44520,228,41596,56,"26664"
"148",14,2023-03-23,41272,120,44964,44,"26664"
"149",15,2023-03-24,44880,284,41148,88,"26664"
"150",16,2023-03-25,35428,136,50772,64,"26664"
"151",17,2023-03-26,32040,128,54192,40,"26664"
"152",18,2023-03-27,41692,184,44472,52,"26664"
"153",19,2023-03-28,42960,188,43188,64,"26664"
"154",20,2023-03-29,43448,168,42708,76,"26664"
"155",21,2023-03-30,33320,132,52880,68,"26664"
"156",22,2023-03-31,28884,148,57324,44,"26664"
"157",23,2023-04-01,19616,144,66616,24,"26664"
"158",24,2023-04-02,31204,232,54896,68,"26664"
"159",25,2023-04-03,34860,212,51264,64,"26664"
"160",26,2023-04-04,37788,272,48300,40,"26664"
"161",27,2023-04-05,39484,236,46600,80,"26664"
"162",28,2023-04-06,38108,324,47880,88,"26664"
"163",29,2023-04-07,38820,496,46968,116,"26664"
"164",30,2023-04-08,39492,572,46176,160,"26664"
"165",31,2023-04-09,36184,552,49332,332,"26664"
"166",32,2023-04-10,36424,768,48744,464,"26664"
"167",33,2023-04-11,38312,248,47772,68,"26664"
"168",34,2023-04-12,37908,320,48108,64,"26664"
"169",35,2023-04-13,35372,288,50664,76,"26664"
"170",36,2023-04-14,41020,484,44688,208,"26664"
"171",37,2023-04-15,38372,576,47040,412,"26664"
"172",38,2023-04-16,50560,1736,33468,636,"26664"
"173",39,2023-04-17,40808,456,45008,128,"26664"
"174",40,2023-04-18,25572,472,60256,100,"26664"
"175",41,2023-04-19,30620,1028,54140,612,"26664"
"176",42,2023-04-20,127,4,41008,NA,"26664"
"177",1,2023-03-10,27833,1123,57288,156,"26665"
"178",2,2023-03-11,31008,1144,54096,152,"26665"
"179",3,2023-03-12,32515,1756,52005,124,"26665"
