"","Bunny.ID","GRID","XYZ","Date.XYZ.On","XYZ.Schedule","Time.XYZ.On","GPS","Date.GPS.On","Time.GPS.On","GPS.Schedule","GPS.Delay","Frequency","Date.on.Bunny","Time.on.Bunny","Date.Off.Bunny","Time.off.Bunny","Date.GPS.OFF","Time.GPS.Off","GPS.Dump.","Date.XYZ.Off","SigA.Start","SigA.End","SigB.Start","SigB.End","Time.XYZ.Off","XYZ.Dump","Last.Record.Date","Notes","DateFile","FileName"
"41","24335","Kloo","YE","13-Jan-19",1,"17:26:25","AR","13-Jan-19","17:26:44",15,NA,149.814,"13-Jan-19","22:35","11-Feb-19","0:10","11-Feb-19","already off","","11-Feb-19",NA,NA,NA,NA,"1:34",NA,"11-Feb-19","GPS didn't work properly, but axy orked well","Feb11_2019","Feb11_2019_YE_24335_1.csv"
"42","22837","Kloo","HC","13-Jan-19",1,"17:27:12","8","13-Jan-19","17:27:34",15,NA,149.924,"13-Jan-19","22:06","25-Feb-19","11:32","22-Feb-19","already off","","25-Feb-19",NA,NA,NA,NA,"20:22","","25-Feb-19","axy worked well","Feb25_2019","Feb25_2019_HC_22837_1.csv"
"43","24653","Kloo","HI","13-Jan-19",1,"17:28:38","20","13-Jan-19","17:29:30",15,NA,149.665,"13-Jan-19","22:59","07-Feb-19","1:35","07-Feb-19","already off","","07-Feb-19",NA,NA,NA,NA,"2:11","","07-Feb-19","axy worked well","Feb07_2019","Feb07_2019_HI_24653_1.csv"
"44","25279","Jo","ZI","13-Jan-19",1,"17:34:34","AX","13-Jan-19","17:30:10",15,NA,149.24,"19-Jan-19","0:03","18-Feb-19","0:24","18-Feb-19","already off","","18-Feb-19",NA,NA,NA,NA,"1:34","","18-Feb-19","axy worked well","Feb18_2019","Feb18_2019_ZI_25279_1.csv"
"45","25676","CB","ZX",NA,1,NA,"19",NA,NA,15,NA,149.309,"15-Jan-19","23:17","20-Jan-19","22:16","20-Jan-19","~23:10","","20-Jan-19",NA,NA,NA,NA,"~23:35","","","time for GPS/XYZ turning on was not recorded","Jan20_2019","Jan20_2019_ZX_25676_1.csv"
"46","24194","CB","ET",NA,1,NA,"10",NA,NA,15,NA,149.079,"15-Jan-19","23:20","28-Jan-19","0:37","28-Jan-19","~01:40","","28-Jan-19",NA,NA,NA,NA,"~01:50","","","time for GPS/XYZ turning on was not recorded","Jan28_2019","Jan28_2019_ET_24194_1.csv"
"47","25678","Jo","CG","",1,"","MT","","",15,NA,149.67,"15-Jan-19","22:27","15-Feb-19","0:36","already off","already off","","15-Feb-19",NA,NA,NA,NA,"2:00","","","time for GPS/XYZ turning on was not recorded, GPS didn't worK","Feb15_2019","Feb15_2019_CG_25678_1.csv"
"48","24693","Jo","CE","17-Jan-19",1,"19:59:08","HB","17-Jan-19","20:00:02",15,NA,149.829,"18-Jan-19","23:16","10-Feb-19","1:03","10-Feb-19","by 02:15","Y","10-Feb-19",NA,NA,NA,NA,"by 02:15","","10-Feb-19","axy worked well, GPS dump?","Feb10_2019","Feb10_2019_CE_24693_1.csv"
"49","25253","Kloo/CB","MZ","17-Jan-19",1,"19:59:36","MK","17-Jan-19","20:00:26",15,NA,149.03,"19-Jan-19","0:28","05-Feb-19","0:35","05-Feb-19","already off","","05-Feb-19",NA,NA,NA,NA,"~02:50","","05-Feb-19","GPS didn’t work (accidentally turned off?)","Feb05_2019","Feb05_2019_MZ_25253_1.csv"
"50","24523","Kloo","XM","18-Jan-19",1,"19:37:35","17","18-Jan-19","19:38:27",15,NA,149.77,"23-Jan-19","23:51","20-Feb-19","9:45","20-Feb-19","already off","","20-Feb-19",NA,NA,NA,NA,"19:06","","20-Feb-19","axy worked well","Feb20_2019","Feb20_2019_XM_24523_1.csv"
"51","25166","Rolo","CF","18-Jan-19",1,"19:37:50","18","18-Jan-19","19:38:46",15,NA,151.695,"19-Jan-19","22:38","18-Feb-19","17:00","11-Feb-19","already off","","23-Feb-19",NA,NA,NA,NA,"already off","","23-Feb-19","axy wroked well","Feb23_2019","Feb23_2019_CF_25166_1.csv"
"52","24547","Jo","HF Alb","18-Jan-19",1,"19:38:06","21","18-Jan-19","19:39:05",15,NA,151.715,"22-Jan-19","23:00","10-Feb-19","0:38","10-Feb-19","by 02:15","","10-Feb-19",NA,NA,NA,NA,"by 02:15","","","axy didn't work (turned off?)","Feb10_2019","Feb10_2019_HF Alb_24547_1.csv"
"53","25092","Kloo","EH","19-Jan-19",1,"18:45:21","MG","19-Jan-19","18:46:02",15,NA,151.675,"19-Jan-19","23:05","08-Feb-19","8:40","08-Feb-19","9:55","","08-Feb-19",NA,NA,NA,NA,"9:54","","","axy worked well","Feb08_2019","Feb08_2019_EH_25092_1.csv"
"54","25029","Kloo","EA","19-Jan-19",1,"18:46:25","55","19-Jan-19","18:46:51",15,NA,151.655,"21-Jan-19","23:21","17-Feb-19","0:58","17-Feb-19","1:32","","17-Feb-19",NA,NA,NA,NA,"1:30","","17-Feb-19","axy orked well","Feb17_2019","Feb17_2019_EA_25029_1.csv"
"55","25676","CB","SS","19-Jan-19",1,"19:34:50","4","19-Jan-19","19:34:20",15,NA,151.555,"20-Jan-19","22:16","08-Feb-19","1:10","08-Feb-19","already off","","08-Feb-19",NA,NA,NA,NA,"2:10","","08-Feb-19","axy worked well, but MALE!!","Feb08_2019","Feb08_2019_SS_25676_1.csv"
"56","25297","Jo","HD Alb","19-Jan-19",1,"18:48:24","44","19-Jan-19","18:48:47",15,NA,151.265,"22-Jan-19","23:30","10-Feb-19","0:58","10-Feb-19","by 02:15","","10-Feb-19",NA,NA,NA,NA,"by 02:15","","10-Feb-19","axy worked well","Feb10_2019","Feb10_2019_HD Alb_25297_1.csv"
"57","25677","CB","EC","19-Jan-19",1,"18:49:08","HI","19-Jan-19","18:49:31",15,NA,151.635,"20-Jan-19","22:40","25-Feb-19","by 20:00","21-Jan-19","already off","","25-Feb-19",NA,NA,NA,NA,"21:52","","25-Feb-19","Dennis GPS, GPS didn't work","Feb25_2019","Feb25_2019_EC_25677_1.csv"
